Unnamed: 0,periodStartUnix,liquidity,open,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken0,pool.totalValueLockedToken1,pool.token0.decimals,pool.token1.decimals,note
53,1627966800,6222098579515,2.61192734422e-05,2.63511446536e-05,2.61192734422e-05,2.6164782314e-05,557990319865159702485692146504809282,205465503032004467278377272237076048422,68933741.36238897,1157.50697069,35058831.559686,8,6,
54,1627970400,6800717757887,2.61626379068e-05,2.61626379068e-05,2.61292219552e-05,2.61292219552e-05,557998842868212887861353742187775216,205479119640586937177005418335478224275,68933741.36238897,1157.50697069,35058831.559686,8,6,
55,1627974000,7172663921684,2.61383174109e-05,2.61383174109e-05,2.59525919392e-05,2.59525919392e-05,558007951670936688451026349220951208,205550653647465599624464088369340648374,68933741.36238897,1157.50697069,35058831.559686,8,6,
56,1627977600,7174354720802,2.59525919392e-05,2.60174735925e-05,2.59468027924e-05,2.59468027924e-05,558073113897783212594189742296336124,205577876033880609931724459333008177679,68933741.36238897,1157.50697069,35058831.559686,8,6,
57,1627981200,7170383974005,2.59468027924e-05,2.59641765051e-05,2.59468027924e-05,2.59641765051e-05,558090572675463462083782372607755134,205577972579935810542404068946745866953,68933741.36238897,1157.50697069,35058831.559686,8,6,
58,1627984800,7172445405533,2.59266784228e-05,2.59266784228e-05,2.58603488819e-05,2.58603488819e-05,558090572675463462083782372607755134,205616068438988666747503344404034033106,68933741.36238897,1157.50697069,35058831.559686,8,6,
59,1627988400,7172445405533,2.58603488819e-05,2.59691894497e-05,2.58603488819e-05,2.59691894497e-05,558165446135575951897458867378807806,205618271326806134433740744451355375562,68933741.36238897,1157.50697069,35058831.559686,8,6,
60,1627992000,7170974586793,2.60750287968e-05,2.63733368847e-05,2.60750287968e-05,2.60880653134e-05,558677480730102627130804602255657933,205754935402714912687099886278619873270,68933741.36238897,1157.50697069,35058831.559686,8,6,
61,1627995600,7163441961575,2.60545196668e-05,2.60545196668e-05,2.59180393398e-05,2.59566660145e-05,558761940099900207670737341455403391,205838146679540211525950851615723058021,68933741.36238897,1157.50697069,35058831.559686,8,6,
62,1627999200,7163441961575,2.59414029127e-05,2.60947792872e-05,2.59002764876e-05,2.60947792872e-05,558911409515214583246845246409887655,205860012659895825243552270923308029374,68933741.36238897,1157.50697069,35058831.559686,8,6,
63,1628002800,7163441961575,2.61421958271e-05,2.62729892669e-05,2.61421958271e-05,2.61963203964e-05,559135537443960037298132979140100650,205877631005386562856129948806861127198,68933741.36238897,1157.50697069,35058831.559686,8,6,
64,1628006400,6865532282892,2.6197904196e-05,2.62532585367e-05,2.60859244261e-05,2.60859244261e-05,559192459898661418673679427985618263,205953215623750501729341285683762904818,68933741.36238897,1157.50697069,35058831.559686,8,6,
65,1628010000,6865532282892,2.60861184868e-05,2.62404826927e-05,2.60861184868e-05,2.62404826927e-05,559304422109385672290727328848769725,205953215623750501729341285683762904818,68933741.36238897,1157.50697069,35058831.559686,8,6,
66,1628013600,6800697555018,2.62598364195e-05,2.64894389412e-05,2.62598364195e-05,2.62707885835e-05,559608193189080500659930406234735928,206040708993868113466374117509269870172,68933741.36238897,1157.50697069,35058831.559686,8,6,
67,1628017200,6800697555018,2.62241693239e-05,2.6264697642e-05,2.61867005785e-05,2.6264697642e-05,559647374285699856120438423785416361,206072757223015129451522972491353872566,68933741.36238897,1157.50697069,35058831.559686,8,6,
